"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"2X13WANNE";"2X13WV";"J2";"";"";
"2";"";"BOHR3,5";"BOHR3,5";"DRL1, DRL2";"";"";
"1";"OPEN_SOURCE_HW";"OPEN_SOURCE_HW";"OPENHW";"U$9";"";"";
"1";"PET_IEEE_M";"PET_IEEE_M";"PET_IEEE_M";"J3";"";"";
